guild_name,taxa_member,references
Colonization Resistance,Lactobacillus acidophilus,"39,40"
Colonization Resistance,Lactobacillus murinus,"39,40"
Colonization Resistance,Lactobacillus johnsonii,"39,40"
Colonization Resistance,Lactobacillus rhamnosus,"39,40"
Colonization Resistance,Bifidobacterium longum,"39,40"
Colonization Resistance,Bifidobacterium bifidum,"39,40"
Colonization Resistance,Bacteroides fragilis,"39,40"
Colonization Resistance,Clostridium innocuum,"39,40"
Dysbiosis Bloom Indicators,Escherichia coli,"41,42"
Dysbiosis Bloom Indicators,Klebsiella pneumoniae,"41,42"
Dysbiosis Bloom Indicators,Klebsiella oxytoca,"41,42"
Dysbiosis Bloom Indicators,Enterococcus faecalis,"41,42"
Dysbiosis Bloom Indicators,Enterococcus faecium,"41,42"
Dysbiosis Bloom Indicators,Proteus mirabilis,"41,42"
Dysbiosis Bloom Indicators,Morganella morganii,"41,42"
Dysbiosis Bloom Indicators,Enterobacter cloacae,"41,42"
Dysbiosis Bloom Indicators,Pseudomonas aeruginosa,"41,42"
Dysbiosis Bloom Indicators,Citrobacter rodentium,"41,42"
Dysbiosis Bloom Indicators,Citrobacter freundii,"41,42"
Dysbiosis Bloom Indicators,Helicobacter hepaticus,"41,42"
Dysbiosis Bloom Indicators,Helicobacter pylori,"41,42"
Mucin Degraders,Akkermansia muciniphila,"34,43,44"
Mucin Degraders,Ruminococcus gnavus,"34,43,44"
Mucin Degraders,Ruminococcus torques,"34,43,44"
Mucin Degraders,Bifidobacterium bifidum,"34,43,44"
Mucin Degraders,Bacteroides thetaiotaomicron,"34,43,44"
Mucin Degraders,Bacteroides fragilis,"34,43,44"
Depleted in IBD,Ruminococcus bromii,"31,45,46"
Depleted in IBD,Ruminococcus champanellensis,"31,45,46"
Depleted in IBD,Ruminococcus albus,"31,45,46"
Depleted in IBD,Ruminococcus callidus,"31,45,46"
Depleted in IBD,Fusobacterium saccharivorans,"31,45,46"
Depleted in IBD,Anaerotruncus colihominis,"31,45,46"
Depleted in IBD,Roseburia faecis,"31,45,46"
Enriched in IBD,Escherichia coli,"31,45,46"
Enriched in IBD,Klebsiella pneumoniae,"31,45,46"
Enriched in IBD,Klebsiella oxytoca,"31,45,46"
Enriched in IBD,Fusobacterium nucleatum,"31,45,46"
Enriched in IBD,Fusobacterium varium,"31,45,46"
Enriched in IBD,Peptostreptococcus anaerobius,"31,45,46"
Enriched in IBD,Bilophila wadsworthensis,"31,45,46"
Enriched in IBD,Enterobacter cloacae,"31,45,46"
Oxidative Stress Taxa (OST),Escherichia coli,"47-49"
Oxidative Stress Taxa (OST),Enterococcus faecalis,"47-49"
Oxidative Stress Taxa (OST),Enterococcus faecium,"47-49"
Oxidative Stress Taxa (OST),Proteus mirabilis,"47-49"
Oxidative Stress Taxa (OST),Morganella morganii,"47-49"
Oxidative Stress Taxa (OST),Klebsiella pneumoniae,"47-49"
Oxidative Stress Taxa (OST),Streptococcus thermophilus,"47-49"
Oxidative Stress Taxa (OST),Campylobacter jejuni,"47-49"
Oxidative Stress Taxa (OST),Campylobacter coli,"47-49"
H2S Producers,Desulfovibrio piger,"50,51"
H2S Producers,Desulfovibrio desulfuricans,"50,51"
H2S Producers,Desulfobulbus propionicus,"50,51"
H2S Producers,Desulfotomaculum ruminis,"50,51"
H2S Producers,Bilophila wadsworthensis,"50,51"
H2S Producers,Fusobacterium nucleatum,"50,51"
Tryptophan Metabolite Producers,Clostridium sporogenes,"52-54"
Tryptophan Metabolite Producers,Peptostreptococcus anaerobius,"52-54"
Tryptophan Metabolite Producers,Lactobacillus reuteri,"52-54"
Tryptophan Metabolite Producers,Escherichia coli,"52-54"
Tryptophan Metabolite Producers,Bacteroides thetaiotaomicron,"52-54"
Tryptophan Metabolite Producers,Ruminococcus gnavus,"52-54"
LPS-High (Endotoxemia) Producers,Escherichia coli,"41,42,55"
LPS-High (Endotoxemia) Producers,Klebsiella pneumoniae,"41,42,55"
LPS-High (Endotoxemia) Producers,Enterobacter cloacae,"41,42,55"
LPS-High (Endotoxemia) Producers,Proteus mirabilis,"41,42,55"
LPS-High (Endotoxemia) Producers,Citrobacter rodentium,"41,42,55"
LPS-High (Endotoxemia) Producers,Citrobacter freundii,"41,42,55"
TMAO Precursor Producers,Clostridium sporogenes,"56,57"
TMAO Precursor Producers,Escherichia coli,"56,57"
TMAO Precursor Producers,Proteus mirabilis,"56,57"
TMAO Precursor Producers,Klebsiella pneumoniae,"56,57"
TMAO Precursor Producers,Enterococcus faecalis,"56,57"
TMAO Precursor Producers,Citrobacter freundii,"56,57"
